area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;004404;009;01;1;2;3;2;3;3;3;2;2;2;2;3;2;2;2;2;2;2;2;2;3;3;3;3;2713;010150004404;01015000440400901;010150004404009011;90,0864512760228;201909
1;010150;004404;009;02;1;2;2;3;2;2;3;2;3;2;3;3;3;3;2;2;2;2;2;2;3;3;3;3;2713;010150004404;01015000440400902;010150004404009021;90,0864512760228;201909
1;010150;004404;009;03;1;2;3;2;3;3;2;3;2;3;3;3;3;3;3;2;2;2;2;2;2;2;3;3;2713;010150004404;01015000440400903;010150004404009031;90,0864512760228;201909
1;010150;004404;009;04;1;3;3;2;3;2;3;2;2;2;2;2;3;3;3;3;2;2;2;2;3;3;3;3;2713;010150004404;01015000440400904;010150004404009041;90,0864512760228;201909
1;010150;004404;009;05;1;2;2;2;2;2;2;2;2;2;3;3;2;2;2;3;2;2;2;2;3;3;3;3;2713;010150004404;01015000440400905;010150004404009051;90,0864512760228;201909
1;010150;004404;009;06;1;2;2;2;3;2;3;2;2;3;2;2;3;3;3;2;2;2;2;2;3;3;3;3;2713;010150004404;01015000440400906;010150004404009061;90,0864512760228;201909
1;010150;004404;009;07;1;2;3;3;2;3;2;3;2;2;1;3;3;3;3;2;3;2;2;2;2;3;3;3;2713;010150004404;01015000440400907;010150004404009071;90,0864512760228;201909
1;010150;004703;009;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150004703;01015000470300901;010150004703009011;109,730719299285;201909
1;010150;004703;009;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150004703;01015000470300902;010150004703009021;109,730719299285;201909
1;010150;004703;009;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;010150004703;01015000470300903;010150004703009031;109,730719299285;201909
